log_schema,trade_id,entry_time,exit_time,symbol,timeframe,side,entry_px,exit_px,profit,exit_type,bars_held,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,rsi_depth,bb_walk_count,wick_pct,ema_slope_bp,atr_ratio,bb_pen_pts,htf_slope_bp,mae_r,mfe_r,mae_r_b4,mfe_r_b4,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,sl_pts,label_bad_entry,label_tail_loss,label_early_cut_b4,label_early_cut_b6,label_early_cut,label_regime,label_profile_good,label_profile_bad,label_bad_trade,label_loss,label_sl
2,82,2023-06-07 06:20:00,2023.06.07 07:25:00,EURUSD,M5,buy,1.06842,1.0676,-0.82,e8c,12,24.76,0.001204,1.809,1,6,3,0.24,4,4.35,-2.28,0.00016,9.2,-2.0,0.465,0.22,0.04,0.22,0.04,0.22,0.04,0.22,200.0,0,0,0,0,0,chop,0,1,0,1,0
2,84,2023-06-08 01:10:00,2023.06.08 02:15:00,EURUSD,M5,sell,1.07093,1.0707,0.23,midline,12,75.32,0.001443,1.545,1,1,4,0.32,1,25.0,2.69,0.000177,1.0,0.19,0.035,0.14,0.0,0.125,0.0,0.13,0.0,0.14,200.0,0,0,0,0,0,range,1,0,0,0,0
2,86,2023-06-12 03:00:00,2023.06.12 04:00:00,EURUSD,M5,buy,1.07369,1.07385,0.16,midline,11,24.59,0.000881,2.082,1,2,1,0.41,2,15.91,-1.66,0.000186,22.9,-0.97,0.195,0.09,0.075,0.085,0.075,0.085,0.075,0.085,200.0,0,0,0,0,0,range,1,0,0,0,0
2,88,2023-06-12 07:05:00,2023.06.12 07:40:00,EURUSD,M5,sell,1.07532,1.07475,0.57,midline,6,81.32,0.001178,2.079,1,7,1,6.32,2,2.5,1.98,0.00018,27.2,-0.7,0.03,0.29,0.03,0.105,0.03,0.235,0.03,0.29,200.0,0,0,0,0,0,range,1,0,0,0,0
2,90,2023-06-13 05:45:00,2023.06.13 06:10:00,EURUSD,M5,sell,1.07825,1.07868,-0.43,e8c,4,76.93,0.00046,1.824,1,5,2,1.93,1,12.5,1.13,0.000134,11.8,3.25,0.31,0.065,0.31,0.065,,,,,200.0,0,0,0,0,0,range,1,0,0,1,0
2,92,2023-06-13 06:10:00,2023.06.13 07:00:00,EURUSD,M5,sell,1.07867,1.0783,0.37,midline,9,83.75,0.00094,1.979,1,6,2,8.75,2,54.05,2.23,0.000152,15.8,4.07,0.47,0.215,0.47,0.0,0.47,0.0,0.47,0.0,200.0,0,0,1,0,1,range,1,0,0,0,0
2,94,2023-06-29 01:20:00,2023.06.29 02:15:00,EURUSD,M5,buy,1.09052,1.09081,0.29,midline,10,19.81,0.001161,2.973,1,1,4,5.19,4,2.17,-2.19,0.000155,31.3,-3.64,0.2,0.25,0.115,0.065,0.155,0.065,0.2,0.065,200.0,0,0,0,0,0,chop,1,1,0,0,0
2,96,2023-06-29 06:00:00,2023.06.29 06:35:00,EURUSD,M5,buy,1.08857,1.08928,0.71,midline,6,22.38,0.000796,2.056,1,5,4,2.62,3,75.0,-1.8,0.000175,11.7,-5.65,0.075,0.455,0.075,0.08,0.075,0.16,0.075,0.455,200.0,0,0,0,0,0,range,1,0,0,0,0
2,98,2023-07-03 07:05:00,2023.07.03 08:15:35,EURUSD,M5,buy,1.0901,1.0881,-2.0,sl,13,24.4,0.001506,4.302,1,7,1,0.6,4,7.02,-2.49,0.000221,43.0,2.0,0.965,0.09,0.635,0.09,0.635,0.09,0.65,0.09,200.0,1,1,1,1,1,chop,0,1,1,1,1
2,100,2023-07-04 20:10:00,2023.07.04 22:20:00,EURUSD,M5,buy,1.08858,1.08796,-0.62,midline,25,22.41,0.001164,1.803,8,20,2,2.59,3,29.17,-2.32,0.000139,15.0,-1.65,0.54,0.08,0.07,0.08,0.16,0.08,0.265,0.08,200.0,1,0,0,0,0,range,1,0,1,1,0
