entry_time,split,profit,exit_type,label_invalid,rsi,bb_width_ratio,vol_ratio,spread_pts,entry_hour,entry_dow,side_sell,rsi_depth,mae_r_b5,mfe_r_b5,mae_r_b6,mfe_r_b6,mae_delta_b5_b6,mfe_delta_b5_b6
2024-05-09 01:15:00+00:00,val,0.22,midline,0,23.26,0.000536,2.407,1,1,4,0,1.7399999999999984,0.045,0.135,0.045,0.135,0.0,0.0
2024-05-09 08:00:00+00:00,val,-0.58,e8c,0,17.1,0.000824,1.687,1,7,4,0,7.899999999999999,0.085,0.185,0.085,0.185,0.0,0.0
2024-05-24 07:15:00+00:00,val,0.06,midline,0,79.53,0.000501,1.636,7,7,5,1,4.530000000000001,0.19,0.2,0.19,0.2,0.0,0.0
2024-05-28 01:20:00+00:00,val,-0.42,e8c,0,78.06,0.000506,1.956,7,1,2,1,3.0600000000000023,0.08,0.155,0.195,0.155,0.115,0.0
2024-05-28 01:55:00+00:00,val,-0.68,midline,0,77.16,0.000716,2.404,7,1,2,1,2.1599999999999966,0.105,0.18,0.105,0.18,0.0,0.0
2024-05-28 12:10:00+00:00,val,0.39,midline,0,80.45,0.001087,1.606,1,12,2,1,5.450000000000003,0.115,0.18,0.115,0.18,0.0,0.0
2024-05-29 01:05:00+00:00,val,0.15,midline,0,24.1,0.000645,2.51,7,1,3,0,0.8999999999999986,0.14,0.0,0.14,0.0,0.0,0.0
2024-06-03 23:05:00+00:00,val,-0.02,midline,0,76.98,0.000579,2.031,13,23,1,1,1.980000000000004,0.105,0.015,0.105,0.015,0.0,0.0
2024-06-04 01:05:00+00:00,val,0.33,midline,0,76.21,0.000536,2.979,1,1,2,1,1.2099999999999937,0.04,0.135,0.085,0.135,0.045000000000000005,0.0
2024-06-04 07:15:00+00:00,val,-0.86,e8c,0,24.38,0.001009,2.013,1,7,2,0,0.620000000000001,0.235,0.08,0.245,0.08,0.010000000000000009,0.0
2024-06-06 02:15:00+00:00,val,-0.29,midline,0,92.54,0.001445,2.188,1,2,4,1,17.540000000000006,0.305,0.05,0.305,0.05,0.0,0.0
2024-06-12 07:00:00+00:00,val,0.3,midline,0,78.0,0.001015,1.548,1,6,3,1,3.0,0.015,0.255,0.035,0.255,0.020000000000000004,0.0
2024-06-14 07:05:00+00:00,val,-1.11,e8c,1,22.13,0.000926,2.116,8,7,5,0,2.870000000000001,0.21,0.21,0.63,0.21,0.42000000000000004,0.0
2024-06-17 07:05:00+00:00,val,0.81,midline,0,17.46,0.001156,3.367,7,7,1,0,7.539999999999999,0.26,0.24,0.26,0.25,0.0,0.010000000000000009
2024-06-20 07:10:00+00:00,val,-0.23,midline,0,21.08,0.000843,2.019,11,7,4,0,3.9200000000000017,0.185,0.09,0.24,0.09,0.05499999999999999,0.0
2024-06-25 06:20:00+00:00,val,0.59,midline,0,77.35,0.000673,1.514,1,6,2,1,2.3499999999999943,0.03,0.135,0.03,0.135,0.0,0.0
2024-06-28 02:00:00+00:00,val,-0.43,midline,1,22.96,0.001133,2.53,2,1,5,0,2.039999999999999,0.485,0.055,0.52,0.055,0.03500000000000003,0.0
2024-07-02 08:20:00+00:00,val,0.28,midline,0,22.56,0.001582,1.514,1,8,2,0,2.4400000000000013,0.32,0.09,0.32,0.09,0.0,0.0
2024-07-03 06:10:00+00:00,val,0.1,midline,0,20.42,0.000595,1.583,1,6,3,0,4.579999999999998,0.09,0.07,0.09,0.07,0.0,0.0
2024-07-03 08:05:00+00:00,val,-0.57,midline,1,77.8,0.001365,2.132,1,8,3,1,2.799999999999997,0.34,0.095,0.34,0.095,0.0,0.0
